Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
Serbia,7142855.81,8.864323339,6757.944275,0.1,23.07,3192188.714,0.1,24.31578947,8.4,5.256875,2.878142857,14.7485,74452.57718,87854.5
Seychelles,93072.38095,4.677906664,14028.06898,0.9,17.2,41945.57143,..,16.89047619,10.3,3.692222222,1.341583333,7.81,475.1735125,460
Sierra Leone,6750671.333,10.65651126,754.0572643,59.2,49.83333333,4019073.238,1.58,306.6190476,2.65,0.4,0.038916667,12.4353,71910.77947,72300
Singapore,5171274,3.794145396,53595.50361,..,..,0,..,43,10.55,2.428888889,1.891235294,4.775,210.1625761,714.8
Sint Maarten (Dutch part),36419.95238,..,32449.08868,..,..,0,..,6.607142857,..,..,..,4.44385,9.184403793,34
Slovak Republic,5410501.143,7.016842105,17283.66745,..,12.17222222,2463718.143,0.1,8.5,5.75,6.226111111,3.428052632,10.09,46876.44364,49032
Slovenia,2055237.476,8.4255,23605.40865,..,8.127777778,956938.2857,0.1,8.685714286,6.65,4.573333333,2.648444444,9.65,19401.47491,20414
Solomon Islands,610798.6667,5.568360793,1792.165577,..,46.25,476740.9524,..,77.19047619,17.55,1.665,0.173142857,5.43465,28414.49527,28900
Somalia,13556024.14,..,434.5345085,..,..,7845793.905,..,273.1904762,5.4,0.77,0.0255,13.5314,635102.2238,637660
South Africa,55105816.38,7.706607241,6477.800354,6.3,39.075,19841596.29,17.58,954.4285714,8.9,2.518,0.772833333,10.88875,1204427.393,1219090
South Sudan,9816974,10.07183256,1375.877318,..,55.8,7971479.714,2.28,227,6.5,..,0.04,11.94485,623624.9877,646883
Spain,46106697.71,8.864402218,29285.69457,..,17.29473684,9594185.619,0.305,13.86190476,8.3,3.098947368,3.783944444,8.82,488925.7056,505711.3541
Sri Lanka,21061714.95,3.747368421,3014.031811,2.9,25.36,17180006.57,0.1,64.9047619,9.4,3.578888889,0.797166667,7.4689,61386.1325,65610
St. Kitts and Nevis,46816.61905,5.116900721,17946.60954,..,..,32183.71429,..,4.40952381,12.3,5.088235294,2.95,9.2976,253.8698195,260
St. Lucia,172616.619,5.016750134,9510.273258,1.9,19.4,138475.619,..,6.642857143,10.05,2.019090909,1.048908333,7.73895,544.6162965,620
St. Martin (French part),34657.66667,..,20567.69883,..,..,..,..,..,..,..,..,4.0582,28.0700068,50
St. Vincent and the Grenadines,107858.1905,4.192395736,7181.386048,..,..,53796.7619,..,10.55714286,8.4,3.574285714,0.833333333,8.2932,329.1274058,390
Sudan,38943429.57,5.042841596,1085.614915,52.3,35.9,25675997.33,0.1,99.04761905,13.75,0.731666667,0.334333333,7.7178,1859899.893,2160514.5
Suriname,568587.381,5.464989663,6245.639271,2.9,21.7,191603.1905,1.46,31,10.8,2.948,0.921166667,7.57945,145003.1468,163820
Sweden,9685627.571,9.821,52574.84705,..,10.42631579,1335513.952,..,6.071428571,4.6,2.594444444,4.042444444,9.515,411134.3059,488016.665
Switzerland,8086168.476,10.43189089,78503.01779,..,11.83125,2125101.381,0.2,6.714285714,5.25,5.009473684,4.017421053,8.1,34763.58127,41290.7
Syrian Arab Republic,20749779.19,3.700341392,1457.382506,..,29.625,9470445.714,0.1,22.19047619,12.4,1.450526316,1.400111111,5.13075,180422.9231,185180
Tajikistan,8348036.143,6.247368421,762.7129909,7.4,34.72,6096993.476,0.135,121.5714286,6.45,4.978421053,1.79,5.6003,134045.209,142023.2
Tanzania,50137938.86,4.868653122,846.6287275,57.1,51.83333333,34562357,5.425,356.1904762,7.55,0.704,0.046666667,8.22405,880726.3952,947300
Thailand,69290410.05,3.65016665,5343.791368,0.6,20.65882353,37686173.38,1.55,178,8.6,2.085263158,0.515666667,6.65825,491891.911,513120
Timor-Leste,1153769.143,6.83673939,1137.380449,48.3,44.2,818006,0.135,498,8.05,5.9,0.411692308,7.7717,14909.69391,14870
Togo,7331587.19,4.729092272,754.9695488,37.6,51.28,4423771.238,2.6,56.52380952,2.7,0.67,0.059781818,9.7386,56198.45264,56790
Tonga,106074.7143,4.750224276,3731.753657,0.9,20.83333333,81435.2381,..,12.38095238,13.85,2.426666667,0.734857143,6.74015,701.7861313,750
Trinidad and Tobago,1338866.952,5.323858072,17296.01771,0.6,..,617704.6667,1.285,18.0952381,12.7,2.428823529,2.261818182,7.1048,4364.437481,5130
Tunisia,11148403.86,5.897287995,3804.384555,0.8,20.575,3607941.667,0.1,32.38095238,9.55,1.821052632,1.1282,5.7484,151132.5215,163610
